id;post_id;choice;count;url;create_date
24;107123;誠実さ;175;"";2020-06-11 10:42:32
25;107123;優しさ;94;"";2020-06-11 10:42:32
26;107123;明るさ;15;"";2020-06-11 10:42:32
27;107123;金銭感覚;52;"";2020-06-11 10:42:32
28;107123;性の一致;24;"";2020-06-11 10:42:32
29;107123;年収;55;"";2020-06-11 10:42:32
30;107123;身長;4;"";2020-06-11 10:42:32
31;107123;容姿;12;"";2020-06-11 10:42:32
32;107123;家事育児能力;26;"";2020-06-11 10:42:32
33;107123;学歴;8;"";2020-06-11 10:42:32
34;107123;趣味教養;14;"";2020-06-11 10:42:32
41;107194;服;3;"";2020-06-11 16:08:57
42;107194;化粧品;6;"";2020-06-11 16:08:57
43;107194;エステ;1;"";2020-06-11 16:08:57
44;107194;友達とのランチや飲み会;2;"";2020-06-11 16:08:57
45;107194;趣味;11;"";2020-06-11 16:08:57
46;107194;その他;8;"";2020-06-11 16:08:57
47;107196;許す;121;"";2020-06-11 16:12:23
48;107196;離婚する;219;"";2020-06-11 16:12:23
49;107196;どちらも言えない;242;"";2020-06-11 16:12:23
50;107200;したことあってバレた;13;"";2020-06-11 16:17:47
51;107200;したことはあるけどバレてない;54;"";2020-06-11 16:17:47
52;107200;したことない！;59;"";2020-06-11 16:17:47
53;107206;見てる　週3回以上;3;"";2020-06-11 18:13:28
54;107206;見てる　週1〜3回程度;7;"";2020-06-11 18:13:28
55;107206;見てる　月数回程度;20;"";2020-06-11 18:13:28
56;107206;見てない;26;"";2020-06-11 18:13:28
57;107212;よかった;185;"";2020-06-11 19:10:11
58;107212;よくなかった;16;"";2020-06-11 19:10:11
59;107212;どちらも言えない;62;"";2020-06-11 19:10:11
60;107216;顔が可愛い;162;"";2020-06-11 20:51:10
61;107216;スタイルがいい;18;"";2020-06-11 20:51:10
62;107216;笑顔;208;"";2020-06-11 20:51:10
63;107216;顔は人並みだけどおしゃれ;17;"";2020-06-11 20:51:10
64;107216;その他;14;"";2020-06-11 20:51:10
65;107224;ネット副業してるよ！;27;"";2020-06-12 00:29:43
66;107224;ネット副業？してないよ。;18;"";2020-06-12 00:29:43
67;107226;小学校低学年;4;"";2020-06-12 00:35:56
68;107226;小学校中学年;3;"";2020-06-12 00:35:56
69;107226;小学校高学年;4;"";2020-06-12 00:35:56
70;107226;中学生;9;"";2020-06-12 00:35:56
71;107226;高校生;2;"";2020-06-12 00:35:56
72;107226;大学生;1;"";2020-06-12 00:35:56
73;107226;◯歳の今も反抗期！;8;"";2020-06-12 00:35:56
74;107226;反抗期はなかった;4;"";2020-06-12 00:35:56
75;107305;行く;13;"";2020-06-12 12:00:15
76;107305;行かない;59;"";2020-06-12 12:00:15
77;107305;飲み会の場所による;8;"";2020-06-12 12:00:15
78;107348;ある;427;"";2020-06-12 14:45:45
79;107348;ない;257;"";2020-06-12 14:45:45
80;107357;ネットの出会いなんて普通でしょ;7;"";2020-06-12 17:04:57
