id;post_id;category_id;is_primary;created_at
1;259193;25;1;2025-11-10 08:40:41
2;276995;25;1;2025-11-10 08:40:41
3;283577;25;1;2025-11-10 08:40:41
4;297432;25;1;2025-11-10 08:40:41
5;313329;25;1;2025-11-10 08:40:41
6;314579;25;1;2025-11-10 08:40:41
7;322707;25;1;2025-11-10 08:40:41
8;343667;25;1;2025-11-10 08:40:41
9;380935;25;1;2025-11-10 08:40:41
10;389143;25;1;2025-11-10 08:40:41
11;409959;25;1;2025-11-10 08:40:41
12;416769;25;1;2025-11-10 08:40:41
13;441385;25;1;2025-11-10 08:40:41
14;444674;25;1;2025-11-10 08:40:41
15;455492;25;1;2025-11-10 08:40:41
16;459412;25;1;2025-11-10 08:40:41
17;463431;25;1;2025-11-10 08:40:41
18;464529;25;1;2025-11-10 08:40:41
19;472204;25;1;2025-11-10 08:40:41
20;479733;25;1;2025-11-10 08:40:41
21;482702;25;1;2025-11-10 08:40:41
22;484631;25;1;2025-11-10 08:40:41
23;488728;25;1;2025-11-10 08:40:41
24;492682;25;1;2025-11-10 08:40:41
25;493832;25;1;2025-11-10 08:40:41
26;495587;25;1;2025-11-10 08:40:41
27;496892;25;1;2025-11-10 08:40:41
28;496976;25;1;2025-11-10 08:40:41
29;500653;25;1;2025-11-10 08:40:41
30;516921;25;1;2025-11-10 08:40:41
31;518522;25;1;2025-11-10 08:40:41
32;520403;25;1;2025-11-10 08:40:41
33;520784;25;1;2025-11-10 08:40:41
34;523880;25;1;2025-11-10 08:40:41
35;525177;25;1;2025-11-10 08:40:41
36;529024;25;1;2025-11-10 08:40:41
37;535516;25;1;2025-11-10 08:40:41
39;544241;25;1;2025-11-10 08:40:41
40;549918;25;1;2025-11-10 08:40:41
41;550072;25;1;2025-11-10 08:40:41
32768;80838;15;"0";2025-11-10 08:44:08
32769;83588;15;"0";2025-11-10 08:44:08
32770;86519;15;"0";2025-11-10 08:44:08
32771;100211;15;"0";2025-11-10 08:44:08
32772;100233;15;"0";2025-11-10 08:44:08
32773;104809;15;"0";2025-11-10 08:44:08
32774;105154;15;"0";2025-11-10 08:44:08
32775;107811;15;"0";2025-11-10 08:44:08
32776;108525;15;"0";2025-11-10 08:44:08
32777;108615;15;"0";2025-11-10 08:44:08
32778;109357;15;"0";2025-11-10 08:44:08
32779;110407;15;"0";2025-11-10 08:44:08
32780;110430;15;"0";2025-11-10 08:44:08
32781;110474;15;"0";2025-11-10 08:44:08
32782;110656;15;"0";2025-11-10 08:44:08
32783;110677;15;"0";2025-11-10 08:44:08
