id;post_id;keyword_id;keyword_type;relevance_score;created_by;created_at
1;191808;165;manual;"1.00";;2025-11-12 08:01:52
2;214028;165;manual;"1.00";;2025-11-12 08:01:52
3;218483;165;manual;"1.00";;2025-11-12 08:01:52
4;247397;165;manual;"1.00";;2025-11-12 08:01:52
5;329462;165;manual;"1.00";;2025-11-12 08:01:52
6;351622;165;manual;"1.00";;2025-11-12 08:01:52
7;440302;165;manual;"1.00";;2025-11-12 08:01:52
8;502182;165;manual;"1.00";;2025-11-12 08:01:52
9;541209;165;manual;"1.00";;2025-11-12 08:01:52
10;548950;165;manual;"1.00";;2025-11-12 08:01:52
11;379461;199;manual;"1.00";;2025-11-12 08:01:52
12;419994;199;manual;"1.00";;2025-11-12 08:01:52
13;483534;199;manual;"1.00";;2025-11-12 08:01:52
14;505141;199;manual;"1.00";;2025-11-12 08:01:52
15;513681;199;manual;"1.00";;2025-11-12 08:01:52
16;514294;199;manual;"1.00";;2025-11-12 08:01:52
17;516056;199;manual;"1.00";;2025-11-12 08:01:52
18;223763;262;manual;"1.00";;2025-11-12 08:01:52
19;262992;262;manual;"1.00";;2025-11-12 08:01:52
20;517260;262;manual;"1.00";;2025-11-12 08:01:52
21;123400;286;manual;"1.00";;2025-11-12 08:01:52
22;127826;286;manual;"1.00";;2025-11-12 08:01:52
23;112373;24;manual;"1.00";;2025-11-12 08:01:52
24;202173;24;manual;"1.00";;2025-11-12 08:01:52
25;206996;24;manual;"1.00";;2025-11-12 08:01:52
26;213131;24;manual;"1.00";;2025-11-12 08:01:52
27;223488;24;manual;"1.00";;2025-11-12 08:01:52
28;324951;24;manual;"1.00";;2025-11-12 08:01:52
29;356936;24;manual;"1.00";;2025-11-12 08:01:52
30;357680;24;manual;"1.00";;2025-11-12 08:01:52
31;370930;24;manual;"1.00";;2025-11-12 08:01:52
32;371182;24;manual;"1.00";;2025-11-12 08:01:52
33;371188;24;manual;"1.00";;2025-11-12 08:01:52
34;372500;24;manual;"1.00";;2025-11-12 08:01:52
35;372876;24;manual;"1.00";;2025-11-12 08:01:52
36;373361;24;manual;"1.00";;2025-11-12 08:01:52
37;375413;24;manual;"1.00";;2025-11-12 08:01:52
38;377401;24;manual;"1.00";;2025-11-12 08:01:52
39;379171;24;manual;"1.00";;2025-11-12 08:01:52
40;381684;24;manual;"1.00";;2025-11-12 08:01:52
41;385169;24;manual;"1.00";;2025-11-12 08:01:52
42;386514;24;manual;"1.00";;2025-11-12 08:01:52
43;391933;24;manual;"1.00";;2025-11-12 08:01:52
44;392049;24;manual;"1.00";;2025-11-12 08:01:52
45;393775;24;manual;"1.00";;2025-11-12 08:01:52
46;398091;24;manual;"1.00";;2025-11-12 08:01:52
47;398288;24;manual;"1.00";;2025-11-12 08:01:52
48;398687;24;manual;"1.00";;2025-11-12 08:01:52
49;399323;24;manual;"1.00";;2025-11-12 08:01:52
50;400687;24;manual;"1.00";;2025-11-12 08:01:52
51;406444;24;manual;"1.00";;2025-11-12 08:01:52
52;406450;24;manual;"1.00";;2025-11-12 08:01:52
53;409632;24;manual;"1.00";;2025-11-12 08:01:52
54;410396;24;manual;"1.00";;2025-11-12 08:01:52
55;411188;24;manual;"1.00";;2025-11-12 08:01:52
56;411714;24;manual;"1.00";;2025-11-12 08:01:52
57;415257;24;manual;"1.00";;2025-11-12 08:01:52
58;425030;24;manual;"1.00";;2025-11-12 08:01:52
59;426532;24;manual;"1.00";;2025-11-12 08:01:52
60;429890;24;manual;"1.00";;2025-11-12 08:01:52
61;433431;24;manual;"1.00";;2025-11-12 08:01:52
62;435557;24;manual;"1.00";;2025-11-12 08:01:52
63;437648;24;manual;"1.00";;2025-11-12 08:01:52
64;443621;24;manual;"1.00";;2025-11-12 08:01:52
65;445436;24;manual;"1.00";;2025-11-12 08:01:52
66;446788;24;manual;"1.00";;2025-11-12 08:01:52
67;448217;24;manual;"1.00";;2025-11-12 08:01:52
68;448306;24;manual;"1.00";;2025-11-12 08:01:52
69;449078;24;manual;"1.00";;2025-11-12 08:01:52
70;449145;24;manual;"1.00";;2025-11-12 08:01:52
71;449704;24;manual;"1.00";;2025-11-12 08:01:52
72;451846;24;manual;"1.00";;2025-11-12 08:01:52
73;453505;24;manual;"1.00";;2025-11-12 08:01:52
74;453898;24;manual;"1.00";;2025-11-12 08:01:52
75;459921;24;manual;"1.00";;2025-11-12 08:01:52
76;463660;24;manual;"1.00";;2025-11-12 08:01:52
77;463837;24;manual;"1.00";;2025-11-12 08:01:52
78;469944;24;manual;"1.00";;2025-11-12 08:01:52
79;473302;24;manual;"1.00";;2025-11-12 08:01:52
80;482616;24;manual;"1.00";;2025-11-12 08:01:52
81;488925;24;manual;"1.00";;2025-11-12 08:01:52
82;489663;24;manual;"1.00";;2025-11-12 08:01:52
83;490607;24;manual;"1.00";;2025-11-12 08:01:52
84;490832;24;manual;"1.00";;2025-11-12 08:01:52
85;494451;24;manual;"1.00";;2025-11-12 08:01:52
86;494898;24;manual;"1.00";;2025-11-12 08:01:52
87;495778;24;manual;"1.00";;2025-11-12 08:01:52
88;498464;24;manual;"1.00";;2025-11-12 08:01:52
89;500028;24;manual;"1.00";;2025-11-12 08:01:52
90;501305;24;manual;"1.00";;2025-11-12 08:01:52
91;501674;24;manual;"1.00";;2025-11-12 08:01:52
92;502498;24;manual;"1.00";;2025-11-12 08:01:52
93;502638;24;manual;"1.00";;2025-11-12 08:01:52
94;505366;24;manual;"1.00";;2025-11-12 08:01:52
95;505640;24;manual;"1.00";;2025-11-12 08:01:52
96;507060;24;manual;"1.00";;2025-11-12 08:01:52
97;507389;24;manual;"1.00";;2025-11-12 08:01:52
98;508870;24;manual;"1.00";;2025-11-12 08:01:52
99;509713;24;manual;"1.00";;2025-11-12 08:01:52
100;509983;24;manual;"1.00";;2025-11-12 08:01:52
101;511303;24;manual;"1.00";;2025-11-12 08:01:52
102;511558;24;manual;"1.00";;2025-11-12 08:01:52
103;511606;24;manual;"1.00";;2025-11-12 08:01:52
104;512471;24;manual;"1.00";;2025-11-12 08:01:52
105;514044;24;manual;"1.00";;2025-11-12 08:01:52
106;514772;24;manual;"1.00";;2025-11-12 08:01:52
107;515035;24;manual;"1.00";;2025-11-12 08:01:52
108;515080;24;manual;"1.00";;2025-11-12 08:01:52
109;515590;24;manual;"1.00";;2025-11-12 08:01:52
110;517786;24;manual;"1.00";;2025-11-12 08:01:52
111;518646;24;manual;"1.00";;2025-11-12 08:01:52
112;518686;24;manual;"1.00";;2025-11-12 08:01:52
113;523445;24;manual;"1.00";;2025-11-12 08:01:52
114;545694;24;manual;"1.00";;2025-11-12 08:01:52
115;167798;114;manual;"1.00";;2025-11-12 08:01:52
116;347576;114;manual;"1.00";;2025-11-12 08:01:52
117;372500;114;manual;"1.00";;2025-11-12 08:01:52
118;374225;114;manual;"1.00";;2025-11-12 08:01:52
119;375413;114;manual;"1.00";;2025-11-12 08:01:52
120;386514;114;manual;"1.00";;2025-11-12 08:01:52
121;391076;114;manual;"1.00";;2025-11-12 08:01:52
122;391185;114;manual;"1.00";;2025-11-12 08:01:52
123;393775;114;manual;"1.00";;2025-11-12 08:01:52
124;412860;114;manual;"1.00";;2025-11-12 08:01:52
125;421543;114;manual;"1.00";;2025-11-12 08:01:52
126;450784;114;manual;"1.00";;2025-11-12 08:01:52
127;451834;114;manual;"1.00";;2025-11-12 08:01:52
128;453498;114;manual;"1.00";;2025-11-12 08:01:52
129;459914;114;manual;"1.00";;2025-11-12 08:01:52
130;459921;114;manual;"1.00";;2025-11-12 08:01:52
131;459925;114;manual;"1.00";;2025-11-12 08:01:52
132;489663;114;manual;"1.00";;2025-11-12 08:01:52
133;506779;114;manual;"1.00";;2025-11-12 08:01:52
134;510270;114;manual;"1.00";;2025-11-12 08:01:52
135;515461;114;manual;"1.00";;2025-11-12 08:01:52
136;540515;307;manual;"1.00";;2025-11-12 08:01:52
137;173344;166;manual;"1.00";;2025-11-12 08:01:52
138;277024;166;manual;"1.00";;2025-11-12 08:01:52
139;350065;166;manual;"1.00";;2025-11-12 08:01:52
140;364744;166;manual;"1.00";;2025-11-12 08:01:52
141;391678;166;manual;"1.00";;2025-11-12 08:01:52
142;401191;166;manual;"1.00";;2025-11-12 08:01:52
143;407305;166;manual;"1.00";;2025-11-12 08:01:52
144;443178;166;manual;"1.00";;2025-11-12 08:01:52
145;459356;166;manual;"1.00";;2025-11-12 08:01:52
146;506321;166;manual;"1.00";;2025-11-12 08:01:52
147;375513;116;manual;"1.00";;2025-11-12 08:01:52
148;382597;116;manual;"1.00";;2025-11-12 08:01:52
